datetime,latitude,longitude,altitude
2023-12-20T14:19:39.84375Z,12.20522,76.7542,26999.2
2023-12-20T14:39:39.84375Z,12.19093,76.60379,26999.2
2023-12-20T14:59:39.84375Z,12.17765,76.45224,26999.2
2023-12-20T14:59:40Z,12.1776,76.4522,26999.2
2023-12-20T14:59:40.46875Z,12.17759,76.45214,26999.7
2023-12-20T14:59:40.46875Z,12.17759,76.45214,26999.7
2023-12-20T15:00:40.46875Z,12.17648,76.44463,23907.8
2023-12-20T15:01:40.46875Z,12.17492,76.43832,21444.6
2023-12-20T15:02:40.46875Z,12.17373,76.43334,19381.4
2023-12-20T15:03:40.46875Z,12.17237,76.42943,17606.2
2023-12-20T15:04:40.46875Z,12.17652,76.42906,16048.5
2023-12-20T15:05:40.46875Z,12.18032,76.4314,14660.6
2023-12-20T15:06:40.46875Z,12.18354,76.43061,13409.2
2023-12-20T15:07:40.46875Z,12.18708,76.43119,12269.8
2023-12-20T15:08:40.46875Z,12.19139,76.43421,11224.0
2023-12-20T15:09:40.46875Z,12.19619,76.4363,10252.9
2023-12-20T15:10:40.46875Z,12.19974,76.43763,9337.6
2023-12-20T15:11:40.46875Z,12.20234,76.43825,8470.6
2023-12-20T15:12:40.46875Z,12.20557,76.43699,7645.9
2023-12-20T15:13:40.46875Z,12.20809,76.43507,6858.8
2023-12-20T15:14:40.46875Z,12.20969,76.43317,6105.4
2023-12-20T15:15:40.46875Z,12.2112,76.43099,5382.2
2023-12-20T15:16:40.46875Z,12.21231,76.428,4686.5
2023-12-20T15:17:40.46875Z,12.21318,76.42428,4015.8
2023-12-20T15:18:40.46875Z,12.21422,76.42056,3368.1
2023-12-20T15:19:40.46875Z,12.21545,76.41765,2741.3
2023-12-20T15:20:40.46875Z,12.21615,76.41578,2134.1
2023-12-20T15:21:40.46875Z,12.21576,76.41335,1544.8
2023-12-20T15:22:40.46875Z,12.21562,76.40961,972.3
2023-12-20T15:23:06.25Z,12.21569,76.40878,733.0
